W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,E
W,G,G,G,G,G,W,B,B,B,B,W,W,W,W,W,W,O,O,W,W,O,O,W,X
W,G,G,G,G,G,W,BL,B,B,B,W,W,W,W,W,W,O,O,W,W,O,O,W,T
W,G,G,G,G,G,W,W,B,B,B,W,R,R,RR,W,W,OL,O,W,W,O,O,W,R
W,G,GD,G,G,G,W,W,B,B,B,W,R,R,R,W,W,O,O,O,O,O,O,W,A
W,W,W,W,W,W,W,W,W,W,B,W,R,R,R,W,W,O,O,O,O,O,O,W,!
W,H,H,H,H,H,W,W,W,W,W,W,R,R,R,W,W,O,O,O,O,O,O,W,C
W,H,H,H,H,H,W,W,W,W,W,W,R,R,R,W,W,O,O,O,O,O,O,W,H
W,H,H,H,H,H,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,A
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,LU,L,L,L,L,W,R
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,L,L,L,L,L,W,S
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,L,L,L,L,L,W
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,L,L,L,L,L,W
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,L,L,L,L,L,W
W,H,H,H,H,H,W,W,X,X,X,X,X,X,X,W,W,L,L,L,L,L,L,W
W,H,H,HD,H,H,W,W,W,W,W,W,W,W,W,W,W,L,L,L,L,L,L,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,D,D,DU,D,D,D,D,W,K,K,K,K,K,K,K,W,S,S,S,SU,S,S,W
W,D,D,D,D,D,D,D,W,K,K,K,K,K,K,K,W,S,S,S,S,S,S,W
W,D,D,D,D,D,D,DR,W,K,K,K,K,K,K,KR,W,S,S,S,S,S,S,W
W,D,D,D,D,D,D,D,W,K,K,K,K,K,W,W,W,S,S,S,S,S,S,W
W,D,D,D,D,D,D,D,W,K,K,K,K,K,W,W,W,S,S,S,S,S,S,W
W,W,D,D,D,W,W,W,W,W,W,K,K,K,W,W,W,S,S,S,S,S,S,W
W,W,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
